type,number,question,answer
fill,33,"对数据传输过程中发生的错误,有两种校验方法。在低速传输中常用奇偶校验方法,在高速传输中常用____方法。",循环码校验
fill,34,数据通信按传输方式分，又可分为____。,并行传输、串行传输
fill,35,高处作业前，应当逐级进行____，落实所有____和安全防护用品，未落实的不得进行施工。,安全技术交底安全技术措施
fill,36,蓄电池做容量试验放电时，放电电流应 不超过____小时率的电流。,10
fill,37,衡量数字通信系统可靠性的主要指标是____。,误码率
fill,38,参照铁路图像通信工程检测规程或设备技术文件，对系统的冗余保护功能进行检验，MCU能支持整机备份机制，以及____、____。,核心模块热备份单板的热插拔
fill,39,数字通信与模拟通信相比，数字通信的____能力强，能实现高质量的远距离通信。,抗干扰
fill,40,目前移动通信系统中话音编码大致可以分成两大类，即波形编码和____编码。,参数
fill,41,GSM-R在铁路运营和服务中采用了两种先进的寻址技术：功能寻址和____。,基于位置的寻址
fill,42,在铁路GSM-R网中，网络节点间及对固定电话网均采用____信令方式。,NO.7
fill,43,工程量计算主要是依据____、 ____ 、其他规定及工程相关资料。,施工图设计文件现行概预算定额
fill,44,无线子系统的物理信道支撑着逻辑信道，以GSM系统为例，逻辑信道可分为____和控制信道两大类。,业务信道
fill,45,GSM-R系统由____、____、____、____四个分系统组成。,移动台基站子系统网络子系统操作维护子系统
fill,46,移动短消息中心的主要功能是接收、存储和____用户的短消息。,转发
fill,47,光在光纤中实现全反射的必要条件是：光纤纤芯的折射率一定要____光纤包层的折射率。,稍大于
fill,48,在GSM-R系统中，频道配置采用等间隔配置方法，枢纽地区采用________复用模式，铁路沿线采用____复用模式。,面状带状
fill,49,在同一车站运转室内，列车调度电话分机和各站电话分机的呼叫信号频率应____，以便于列车调度电话回线或分机发生故障时临时使用。,尽量相同
fill,50,铁塔基础钢质接地体应采用焊接连接。圆钢与圆钢、圆钢与扁钢（角钢）的焊接长度必须大于圆钢直径的6倍；扁钢、角钢必须三面焊接，焊接长度必须大于宽边的2倍。焊点平滑无毛刺，并做防腐处理，防腐层应在焊点四周延伸____，埋入地下的焊点防腐层必须大于____以上。,20mm～25mm5mm
fill,51,天线按方向性分类，大致可分为____和____两种。,全向天线定向天线
fill,52,在接地装置拐角及尽头处的地面上应设置____标志。,永久性走向
fill,53,会议电视室允许的噪声等级不应大于____ ，护围结构的隔声量不应低于____。,40dB50dB
fill,54,设备配线时，通信电缆与电源线的平行距离不小于____。, 50mm 
fill,55,用经纬仪测量铁塔垂直度，经纬仪摆放的最佳位置为距铁塔距离为铁塔高度的____。, 2倍 
fill,56,数字调度通信系统网管的性能管理功能应包括性能数据的____、____、____。,采集诊断分析
fill,57,有线电视系统一般由接收信号源、前端设备、____和用户分配网络等几个部分组成。,干线传输系统
fill,58,铁塔安装其倾斜度不得大于塔高的____。,1/1500
fill,59,故障处理要做到“五清”即：时间清 、____ 、 地点清 、 影响范围清 、 ____。, 原因清处理过程清
fill,60,联合接地与保护接地分设接地体时，两种接地体间的距离及其他接地体间的距离一般均不应小于____。,20米
fill,61,光缆线路工程是光缆通信工程的一个重要组成部分，它与传输设备安装工程的划分，是以____为分界，其外侧为光缆部分。,光纤分配架（ODF）和光纤分配盘（ODP）
fill,62,对于C级防雷器，防雷片窗口为绿色时，表示防雷器完好，为红色时，表示防雷器已经损坏。防雷器空开的状态必须是____。,闭合
fill,63,"预埋暗管,直线布管____处应放置过线盒装置，暗管转弯的曲率半径不应小于该管外径的____倍，如暗管外径大于50mm时，不应小于____倍。",30m610
fill,64,无人机巡检飞行前需办理相关审批手续，明确____和____。,飞行空域时间
fill,65,劳动合同是劳动者与用人单位____ 、明确双方权利与义务的协议。,确立劳动关系
fill,66,GSM-R系统中CIR的中文全称是____。,机车综合无线通信设备
fill,67,GSM-R数字移动通信设备的接地应采用____方式，其接地电阻不应大于各地线分系统所规定的最小电阻值。,联合接地
fill,68,当采用屏蔽电缆或穿金属保护管以及在线槽内敷设时，与具有强磁场和强电场的电气设备之间的净距离应大于____，屏蔽线应单端接地。,0.8m
fill,69,铁路450M射频直放站主要检测项目有：正、反向输入、输出电平； 静噪门限电平；____。,自动增益控制范围
fill,70,光纤直放站主要检测项目有：输出光功率；输入光功率；____；最大输出功率；自动电平控制(ALC)；增益调节范围。,光接收动态范围
fill,71,车站广播播音盒应具备播音功能、____、故障显示、噪音探测及控制功能。,监听功能
fill,72,常用的防坠落护具有安全带、安全绳和____三类。, 安全网 
fill,73,GSM-R系统用户终端设备包括机车综合无线通信设备、汽车车载台、列尾通信设备、作业手持台、____、调车手持台、固定用户接入系统（FAS）终端、SIM卡等。,通用手持台
fill,74,GSM-R系统室内设备包括无线子系统、交换子系统、____、通用分组无线（GPRS）子系统、网管子系统。,智能网子系统
fill,75,浪涌保护器电源线与防雷箱的连接线长度不得大于0.5m，受条件限制连接线长度大于0.5m时，应采用________连接。,凯文接线法
fill,76,漏缆的直流电阻指的是直流绝缘电阻应为____,10000MΩ·km。
fill,77,当供电电缆与信号电缆在同一径路用线槽敷设时，宜分线槽敷设。若需要敷设在同一线槽内，应采用带____的金属线槽，分开敷设。,金属隔板
fill,78,漏泄同轴电缆的交流电气特性主要有特性阻抗、____、标称耦合损耗、传输衰减等。,电压驻波比
fill,79,异步传输ATM技术是一种____和____技术。,分组交换复用
fill,80,通常电池的工作状态有浮充和均充，对于48V标称电压电池组来说其对应的工作电压分别是-56.4V和____。,-52.5V
fill,81,为了提高信道利用率，使多路信号沿同一信道传输而互不干扰，称为____。,多路复用
fill,82,采用GSM-R为运输调度指挥、设备维护及安全管理提供____、短信息、电路域及分组域数据传输业务。,移动语音通信
fill,83,施工技术交底纪要应____，装订成册，由技术部门负责保存，工程竣工时纳入工程档案。,累计留存编号
fill,84,"综合布线系统现场测试对测量步长的要求，在1～31.25MHz测量范围内，测量最大步长不大于150kHz，在31.25～100MHz测量范围内,测量最大步长不大于____。",250kHz
fill,85,随路信令在多路段路由上传送时一般有两种方式：____和____。,端到端逐段转发
fill,86,GSM-R应实现场强____，无线覆盖区应保证铁路作业区域连续覆盖。在单个基站失效的条件下，GSM-R场强覆盖仍应满足话音和数据传输的要求。,冗余覆盖
fill,87,参照铁路图像通信工程检测规程或设备技术文件，检验综合视频监控系统与其他系统进行联动的时延，从前端设备接收外部告警或事件信息等触发信号起，到执行相应操作所需的响应时间不大于____。,500ms
fill,88,基站子系统（BSS）是GSM-R系统中最基本的组成部分。它由两种基本组成设备，分别是____和基站控制器（BSC）。,基站收发信机（BTS）
fill,89,"楼宇布线终接后，交接间，设备间对绞电缆预留长度宜为____m, 光缆布放宜盘留,预留长度宜为____m。",0.5-1.010-30
fill,90,光纤直放站中继端机的____测试下行输出光功率，在覆盖端机的输入端测试上行输出光功率。,输出端
fill,91,直放站是一个全双工射频放大器，它是从归属基站的下行链路及从移动台的上行链路中接收、放大并____该信号给移动台和归属基站。,反向重传
fill,92,光纤直放站中继端机安装点A点到覆盖端机安装点B点之间仅有一条两个窗口空闭的光纤，那么直放站两点间的信号传输方式为____________。,单纤传输方式
fill,93,光纤直放站中继端机要完成电/光转换（下行）和光/电转换（上行），光纤直放站的最大传输距离一般不得超过____。,20公里
fill,94,将数字数据调制为模拟信号的调制方法有____、____、和____。,幅度调制频率调制相位调制
fill,95,光中继器是将传输后的光信号进行放大再生，以实现____。,远距离传输
fill,96,电气化铁路区段，通信电缆的屏蔽地线接地电阻一般小于____。,4Ω
fill,97,解决室内覆盖的基本方法有____直接接入，宏蜂窝基站直接接入，选取周围基站小区信号无线接入。,微蜂窝基站
fill,98,施工现场的安全防护用具、机械设备、施工机具及配件必须由____管理，定期进行检查、维修和保养，建立相应的____，并按照国家有关规定及时报废。,专人资料档案
fill,99,参照铁路图像通信工程检测规程或设备技术文件，对视频内容分析质量进行检测，入侵检测、逆行检测、遗留物检测、人群异常行为检测和人群密度估计中，应能分析识别其灰度值与背景灰度值之差不大于____的目标。,20灰度级
fill,100,在安全生产工作中，通常所说的“三违”现象是指____、____和____。, 违章指挥 违章作业  违反劳动纪律 
fill,101,TCP/IP从底层开始向上依次是网络接口层、____、____、应用层。,网际层运输层
fill,102,UTP布线系统中6类线缆具有____以下的传输特性。,200M/HZ
fill,103,不间断供电电源系统采用市电经____、逆变器提供380/220V交流50Hz正弦波稳压稳频电源。,整流器
fill,104,光纤通信系统中，短波长波段为____波长。,0.8~0.9μm
fill,105,"我国GSM-R的频段是：上行：____MHz，下行：________ MHz，带宽： 4 MHz，频率间隔：____kHz,双工距离： 45 MHz；绝对频率点：____MHz。",885-889930-934_200 999—1019
fill,106,移动GSM基地台主要有2个接口，一个是面向移动台的Um接口，另一个是面向基站控制器BSC的____接口。,A-bis
fill,107,GPRS的基本功能是在移动终端与计算机通信网络的路由器之间提供____业务。,分组传递
fill,108,光缆配盘宜按出厂盘号顺序排列。非出厂盘号顺序排列时，相邻两盘光缆的光纤模场直径之差应小于____μm。,1
fill,109,SDH复用映射结构中的虚容器是SDH网中用以支持通道层连接的一种信息结构，它是由容器加上____构成的，可分成低阶VC和高阶VC两种。,通道开销
fill,110,SDH传送网可以从垂直方向分解三个独立的层网络，即电路层、____和传输媒质层。,通道层
fill,111,公务电话机通过____方式来监控。,压控
fill,112,对传输STM-1的1550mn波长的光纤应进行最大离散反射系数和S点最小回波损耗的测试。其指标分别为≤25dB和____。,≥20dB
fill,113,按照IEEE802系列标准，局域网由物理层、介质访问控制层和____控制层组成。,逻辑链路
fill,114,主时钟控制同步方式，也叫____时钟同步方式，它是将一个主基准时钟分别送到所有交换节点，使这些节点都锁定在一个共同的时钟频率上。,外部基准
fill,115,卫星通信是利用人造地球卫星作为____来转发无线电波而进行的两个或多个地球站之间的通信。,中继站
fill,116,传输系统以太网端到端的____、时延(IPTD)、____指标应符合设计要求。,丢包率（IPLR）吞吐量（IPPT）
fill,117,____是指直放机在线性输出状态下最大输入电平时设备的放大能力。,额定增益
fill,118,《国务院、中央军委关于保护通信线路的规定》中第八条规定在通信线路沿线附近建筑施工、筑路、兴修水利、农田建设、植树造林、砍伐树竹、运输超高大物件、架设线路、敷设管道和进行水下作业等，如有可能危及通信线路安全，应事先取得通信部门同意，并采取____以后方可动工。, 技术防范措施 
fill,119,移动基站控制器主要的功能是进行无线信道管理、实施呼叫和通信链路的建立和拆除，并对本控制区内移动台的____进行控制等。,越区切换
fill,120,质量管理应以顾客为关注焦点，应当理解顾客当前和未来的需求，满足顾客要求并争取____顾客期望。, 超越
fill,121,通信工程中，时钟系统的中心一级母钟能接收外部________信号。,校时
fill,122,移动蜂窝技术的基本特征是____。,基站在一定范围内可以频率复用
fill,123,"HCTAY-50-22 7/8""馈线单次弯曲时最小弯曲半径为____。",140mm
fill,124,同步数字体系信号的最基本、最重要的模块信号速率为____________。,155.520Mbit/s
fill,125,根据《铁路通信工程施工质量验收标准》（TB 10418-2019），G.652单模光纤接续点的接续损耗平均值不大于____。,0.06dB
fill,126,GSM-R系统天线方位调整时按设计方位角用罗盘预调整天线，误差不宜大于____。,5°
fill,127,漏缆连接器安装应包括固定连接器、阻抗转换连接器、____、功率分配器及终端匹配负载。,直流阻断器
fill,128,《铁路专用通信作业安全规则（暂行）》第五十八条规定，机房内严禁使用可能引起火灾的 ____ ；严禁使用汽油、丙酮等易燃物品清扫____；不准吸烟和使用明火。,取暖设备 带电 设备
fill,129,通信站接地装置与发电、变电站的接地体间的距离不应____。,小于200m
fill,130,电源线路的浪涌保护器应安装在被保护设备电源线路的____端。,前
fill,131,馈线进入机房与设备连接前应安装____，接地端子应就近引接到接地线上。,馈线防雷器
fill,132,我国安全生产工作管理的方针为____、____、____。,安全第一预防为主综合治理
fill,133,光缆机械性能指标有拉伸、压扁、冲击、反复弯曲、扭转、____等受力状态。,曲绕
fill,134,"调测数字调度设备音频四线接口时，结果应符合四线相对输入____dBr,输出电平-3.5dBr的要求。",-3.5
fill,135,调测数字调度设备音频二/四线接口时，阻抗匹配应为____Ω。,600
fill,136,软交换是网络演进以及下一代____的核心设备之一。,分组网络
fill,137,生产经营单位的特种作业人员必须按照国家有关规定经专门的安全作业培训，取得____资格证书，方可上岗作业。,特种作业操作
fill,138,生产经营单位必须为从业人员提供符合国家标准或者行业标准的____，并监督、教育从业人员按照使用规则佩戴、使用。,劳动防护用品
fill,139,从业人员在作业过程中，应当严格遵守本单位的安全生产规章制度和____。,操作规程
fill,140,重大危险源，是指长期地或者临时地生产、搬运、使用或者储存危险物品，且危险物品的数量等于或者超过____的单元（包括场所和设施）。,临界量
fill,141,"参照铁路图像通信工程检测规程或设备技术文件,对视频存储功能进行试验，支持告警视频的____和重要视频的____功能。",自动存储人工存储
fill,142,警告标志的几何图形是____，图形背景是黄色，图形符号为黑色。,三角形
fill,143,禁止标志是用____与图像符号构成的，用以表示禁止或制止人们不安全行为的安全信息。,红色
fill,144,《安全生产法》规定：生产经营单位的从业人员，有权了解其作业场所和工作岗位存在的____、____及____，有权对本单位的安全生产工作提出建议。,危险因素防范措施事故应急措施
fill,145,为了避免发生事故，必须做到“三不伤害”不伤害自己、不伤害他人、____。,不被他人伤害
fill,146,铁路营业线作业应严格执行____原则。,三不动、三不离
fill,147,国务院493号令《生产安全事故报告和调查处理条例》规定，事故等级分为一般事故、____、重大事故、特别重大事故四类。,较大事故
fill,148,调度台至值班台的传输损耗不应大于 7dB。模拟调度电话的端对端最大衰减不宜大于____。, 30dB
fill,149,质量管理记录的作用为产品符合要求和____提供证据、需要时实现可追溯。,过程有效
fill,150,危险作业是指在作业过程中，由于操作不当或防护措施不到位，容易发生伤亡事故的作业，危险作业有以下几种：高处作业、____、禁火区进行明火或易燃、易爆作业、____、爆破性作业等。,带电作业有中毒或窒息危险的作业
fill,151,避雷带引下线与水平接地体的连接点处应设____接地体，该接地体必须与水平接地体可靠焊接。接地装置连接应可靠，连接处不应松动、脱焊、接触不良。,垂直
fill,152,国家实行生产安全事故责任追究制度，依照《中华人民共和国安全生产法》第十三条和有关法律、法规的规定，追究生产安全事故有关____的法律责任。,责任人员
fill,153,"重大事故发生后，事故发生单位应当在____小时内写出书面报告,按程序和部门逐级上报。",24
fill,154,施工现场的安全防护用具、机械设备、施工机具及配件必须由____管理，定期进行检查、维修和保养，建立相应的资料档案，并按照国家有关规定及时报废。,专人
fill,155,生产经营单位不得因从业人员在发现直接危及人身安全的紧急情况下停止作业或者采取紧急撤离措施而降低其工资、福利待遇或者解除与其订立的____。,劳动合同
fill,156,工程建设标准化主要包含____、____、____、____。,管理制度标准化人员配备标准化现场管理标准化过程控制标准化
fill,157,施工单位应向作业人提供安全防护用品、安全防护服装，并告知____的操作规程和违章操作的危害。,危险岗位
fill,158,施工单位应向作业人员____告知危险岗位的操作规程和违章操作的危害。,书面
fill,159,建设工程施工之前，施工单位负责项目管理的技术人员应当对有关安全施工的技术要求向施工作业班组、作业人员作出详细说明，并由双方____确认。,签字
fill,160,《安全生产法》规定：生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上设置明显的____标志。,安全警示
fill,161,禁止在具有____的场所使用明火；特殊情况应事先办理审批手续，作业人员应当遵守消防安全规定，并采取相应的消防安全措施。,火灾、爆炸危险
fill,162,铁路建设项目施工作业指导书中施工程序与工艺流程应说明分部工程、分项工程的内部施工段落划分，各组成部分的____。,作业程序和先后顺序
fill,163,因生产安全事故受到损害的从业人员，除依法享有工伤社会保险外，依照有关民事法津尚有获得赔偿的权利，有权向____提出赔偿要求。,本单位
fill,164,施工单位要严格明火作业制度，施行明火作业时，要避开____物品和装置，操作完毕后要认真清理现场，防止产生暗火。严禁在施工现场吸烟，燃放、存放烟花爆竹。,易燃易爆
fill,165,从人体触及带电体的方式和电流通过人体的途径，触电可分为：____、两相触电和跨步电压触电。,单相触电
fill,166,ATS与广播系统通过10M以太网连接，广播系统侧的接口设备是____。, 网络服务器 
fill,167,公务电话交换机的一次电源电压值为____。, -48V 
fill,168,对安装连接后的蓄电池组管理，容量检查时，应同时检查____、____、____应正常可靠。,端子压降单体温度排气阀
fill,169,综合业务数字网基本速率（ISDN-BRI）接口的B通道、D通道，端到端____应无误码。,3min测试
fill,170,安全设施必须与主体工程____、____、____。,同时设计同时施工同时投产使用
fill,171,参照铁路图像通信工程检测规程或设备技术文件，对综合视频监控系统的下列业务管理功能进行检验，视频监视用户根据优先级权限高低对视频信息进行浏览和控制。用户视频浏览和云镜控制权限优先级均从高到低分为____级，0级最高，平时预留。,0-63
fill,172,电话交换系统长时间通话测试是将____对用户保持通话状态____，同时将高话务量加入交换网。,1248h
fill,173,2B＋D接口，B信道速率为64Kbit／S，D信道速率____,16Kbit／S。
fill,174,综合视频监控系统中当信息经由数据网络传输时，端到端的信息双向总信息延迟时间（包括发送端信息采集、编码、网络传输、信息接收端解码、显示等过程所经历的时间）不大于____。,3s
fill,175,建筑施工企业必须坚持的三级教育是指：____安全教育、____安全教育、____安全教育。,公司级项目部级班组级
fill,176,综合视频监控系统数字视频信号为单路画面分辨率352×288（CIF）时，最终显示清晰度要求随机信噪比 应不小于____。,36dB
fill,177,低空经济在实际运用中的安全问题，核心集中在空域管控、飞行器技术、通信导航、人为操作、网络数据、____、________七大方面。,地面与公共安全法规标准
fill,178,综合视频监控系统数字视频信号为单路画面分辨率704×576（4CIF）时，最终显示清晰度要求实时显示彩色电视水平清晰度应不小于____。,400TVL
fill,179,用电平表测量电平的方法有跨接法和____两种。,终端法
fill,180,电力牵引供电区段隧道内，当LCX与接触网回流线、保护地线（PW）在同侧架设时，其距离应不小于0.6m。与吸上线交越时，LCX外应加套厚____、长____的聚乙烯塑料护套防护。,0.8mm1 m～1.3m
fill,181,综合网管系统在网络设备运行正常情况下，网管系统的告警最长响应时间应小于____。,5s
fill,183,劳动保护的内容包括____、____、和____三个方面。,劳动保护管理安全技术职业卫生
fill,184,应根据光缆盘长和路由情况配盘，尽量减少光缆接头数量、避免短段光缆；短段光缆长度不宜小于____。,200m
fill,185,以太网交换机单机设备64byte数据帧吞吐量下转发时延不超过____。,100μs
fill,186,GSM-R系统场强覆盖和网内干扰检测前应首先对____进行检测，确保不存在外界电磁干扰。,外部电磁环境
fill,187,强电线路对通信线的影响主要为____。,危险影响和干扰影响
fill,188,移动交换子系统软件应具有____，一般软件故障不应引起各类严重的系统重启动。,容错能力
fill,189,蓄电池工作环境最佳温度是____。,25°C
fill,190,机房内蓄电池安装时，电池各列应排放整齐，前后位置、间距适当，间隔偏差不大于____。每列外侧应在一条直线上，其偏差不大于____。,5mm3mm
fill,191,19英寸标准机柜上1U等于____ 。, 44.45mm
fill,192,电缆桥架接缝处用____进行电气连通。, 连接线或跨接线 
fill,193,敷设好的配线两端应贴有标签，标明____、____及____等必要的信息。, 型号长度起止设备名称
fill,194,机柜（架）的安装应端正牢固，垂直偏差不应大于机架高度的____。,1‰
fill,195,电源线弯曲时，弯曲半径不得小于其外径的____倍。,6
fill,196,铁路重点区域视频录像保存时长要求不少于____天。,90
fill,197,城轨有线广播系统由____和车辆段/停车场广播两个独立系统组成。其中前者为控制中心调度员、车站值班员、车辆段值班员提供对相应区域进行有线广播，同时也为控制中心大楼提供广播功能。,正线广播/运营线广播系统
fill,198,光纤活动连接器有4种典型型号：____、____、____、____。,FCSCLCST
fill,199,光电缆线路施工过程中，如发现光电缆变形时，应进行护套密封性检查及____和____的检查测试。,光缆衰减性能电缆绝缘性能
fill,200,光纤按模式分类，铁路干线多用____。,单模光纤
fill,201,铁塔日常重点排查螺栓松动、锈蚀、____三类缺陷。,塔身倾斜
fill,202,铁路铁塔钢材主流防腐工艺是____。,热镀锌
fill,203,角钢塔的结构优势是____、____。,刚度大抗风抗震性能好
fill,204,标准化手册中质量检查计划主要包括检查依据、检查人员、____、时间安排、____、检查结果应形成质量检查表。,检查内容检查重点
fill,205,运营维护单位应在建设单位统一组织下提前介入相关建设工作，了解建设标准，参与____、____检查与验收，参与联调联试及竣工验收，为开通运营和养护维修做好准备。,工程质量设备质量
fill,206,电绝缘鞋应在____以下电压范围内使用。,1Kv
fill,207,佩戴安全帽时，帽衬与帽壳顶应保持____空间，形成能量吸收系统，减轻对头部的伤害。,25-50mm
fill,208,兆欧表是一种测量电气设备____好坏的仪表。,绝缘性能
fill,209,通信信号机房应配置____灭火器。,二氧化碳
fill,210,国标安全色有____四种颜色。,红、黄、蓝、绿
fill,211,电路有____三种工作状态。,通路、开路和短路
fill,212,三视图即为____ 。,主视图、俯视图和左视图
fill,213,建筑施工企业必须为从事危险作业的职工办理____。,意外伤害保险
choice,1,"下图数字信号形式称为（）。
（A）双极性归零码 （B）双极性不归零码
（C）单极性归零码 （D）单极性不归零码",A
choice,2,"在典型的差动式直流放大器中，RE的作用是()。
 （A）对差模信号构成负反馈以提高放大器的稳定性
 （B）对共模信号构成负反馈以提高抑制零点漂移的能力
 （C）使放大器放大倍数增加
 （D）A和B",B
choice,3,"一段全长10km的光缆（2km/盘、G.652、1310nm窗口，无其他接头），计算该段光缆的损耗是（）。
（A）1.72dB （B） 1.92dB （C）3.5dB （D） 3.82 dB
备注：接头10 km /2 km/盘-1=4个
损耗=4个*0.08 dB +10km *0.35db/km=3.82dB。",D
choice,4,"三相交流电的三个线圈的电动势相比，说法正确的是()。
 （A）它们的最大值不同 　　 （B）它们的频率不相同　　　
 （C）它们的周期不同 　　 （D）它们的周期、频率都相同",D
choice,5,"某G网改造工程中，项目部需迁改某段主干光缆，距信号楼通信机房ODF侧还差150m，根据《铁路通信维护规则2014》(铁总运[2014]295号 )的相关要求，需重新敷设（）主干光缆。
（A） 200m （B） 300m （C） 500m （D）1000m",D
choice,6,"通信机房拆除旧设备时应先拆除()。
（A）光纤 （B）信号线 （C）电源线 （D）接地线",C
choice,7,"7/8”同轴电缆和l/2""软馈线的曲率半径应分别不小于()。
（A）300mm及150mm （B）150mm及300mm
（C）250mm及120mm （D）120mm及250mm",C
choice,8,"（）是贯彻施工现场安全生产保证体系的根本要求。
（A）安全生产管理	（B）持续改进	 （C）预防事故	（D）全员意识",C
choice,9,"根据《建筑机械使用安全技术规程》规定，作业前，必须查明施工场地内明、暗铺设的各类管线等设施，并应采用明显记号标识。严禁在离地下管线、承压管道（）距离以内进行大型机械作业。
A.1m	 B.1.2m 		 C.1.5m	 	D.2m",A
choice,10,"根据《危险性较大的分部分项工程安全管理办法》规定，开挖深度超过（）中的基坑（槽）的土方开挖、支护、降水工程属于超过一定规模的危险性较大的分部分项工程。
A.3m	 B.5m		 C.7m	 D.15m",B
choice,11,"配电装置送电操作顺序为：（）。
A.总配电箱(配电柜)一分配电箱一开关箱
B.分配电箱一总配电箱(配电柜)一开关箱
C.总配电箱(配电柜)一开关箱一分配电箱
D.开关箱一分配电箱一总配电箱(配电柜)",A
choice,12,"为防止雨水进入机房，馈线进入机房前应设防水弯。馈线防水弯最低处应()。
（A）低于馈线窗下沿 （B）与相邻馈线保持一致 
（C）高于馈线窗下沿 （D）与上下馈线保持一致",A
choice,13,"根据《高速铁路通信工程细部设计和工艺质量标准》(Q/CR 9520—2018)，隧道变径地段宜采用不低于（）规格的热镀锌角钢支架固定牢固，在变径两端固定点各不少于（ C ）个，漏缆夹具在支架上应加密，两端安装防火型夹具。
（A）40 mm×40 mm×5 mm，2
（B）40 mm×40 mm×5 mm，4
（C）50 mm×50 mm×5 mm，2
（D）50 mm×50 mm×5 mm，4",C
choice,14,"四柱钢管塔结构件连接塔身6 m以上采用双螺母紧固，塔身6 m以下采用防退双螺母紧固，螺栓紧固后外露丝扣应不少于（）扣。
（A） 1 （B） 2 （C）3 （D） 4",B
choice,15,"在EIA/TIA-568B标准中，哪一类电缆是最经常推荐使用，并且也是在当今网络安装中最经常使用的？（） 
（A）第2类电缆 （B）第5类
（C）第3类电缆 （D）第4类电缆",B
choice,16,"走线槽出纤口及各种三通、四通的转角过渡圆角半径（），确保光纤弯曲曲率半径R≥50mm。
（A）≥20mm （B）≥30mm （C）≥40mm （D） ≥50mm",D
choice,17,"-48V高频开关电源的直流输出电压范围是（）。
（A） -42V ～ -54V （B）-43.2V ～ -51.8V 
（C） -44V ～ -52V （D） -40 V ～ -57V",D
choice,18,"高频开关电源蓄电池组(单体2V)各单体间的开路电压最高与最低差值不大于（）。
（A） 20mV （B） 30mV （C） 40mV （D） 50mV",A
choice,19,"发电机组监控开通后不能实现油机的自动()。
 （A）启动 （B）停机 （C）调整输出电压 （D）调整输出电流",D
