type,number,question,answer
fill,91,预告信号机与主体信号机的设置距离应符合列车由设计速度到停车的紧急制动距离要求，并不得小于800 m；预告信号机的显示距离不足400 m时，不得小于________m。,1000
fill,92,ZPW-2000系列无绝缘轨道电路传输的低频调制信号频率为10.3～29Hz；间隔为____；共18种低频调制信号。,1.1Hz
fill,93,ZPW－2000A接收、发送条件配线分槽、分侧布放，其目的是为了提高接收、发送的________。,抗干扰性能
fill,94,ZPW-2000系列无绝缘轨道电路采用标准载频为____,1700Hz、2000Hz、2300Hz、2600Hz。
fill,95,道岔区段轨道电路的两钢轨绝缘不能并列安装时，死区段不宜大于____m。,2.5
fill,96,ZPW-2000A接收设备采用 ____方式。,双机并用
fill,97,ZPW-2000A匹配变压器（TAD）变比为____，室内防雷变压器变比为1:1。,1:09
fill,98,ZPW-2000A设备工作直流电压范围为____V 。,23.5～24.5
fill,99,ZPW-2000A低频信号有____种。,18
fill,100,ZPW-2000A低频信号F15代表____Hz。,13.6
fill,101,ZPW-2000A接收盒正常工作电压不小于____mv。,240
fill,102,ZPW-2000A接收盒工作电压低于____mv时，轨道继电器可靠落下。,170
fill,103,ZPW-2000A室内屏蔽线的屏蔽层必须____接地。,单端
fill,104,ZPW-2000A系统通过衰耗盒上指示灯反映发送、____、轨道工作状态。,接收
fill,105,ZPW-2000A系统某轨道区段空闲，主接收盒故障时，衰耗盒轨道指示灯仍显示绿灯，表示____工作正常。,接收并机
fill,106,ZPW-2000A衰耗盒可用于对接收器的主轨道电路输入电压调整和对____电路的输入电压调整。,小轨道
fill,107,ZPW-2000A系统，当“轨道占用”时轨道指示灯应亮红灯，“轨道空闲” 时应亮绿灯，停电时____灯。,灭
fill,108,电码化柜的发送检测盘，可测量上、下两套发送器的电源电压和____。,功出电压
fill,109,ZPW-2000A系统在电气绝缘节处，串联谐振为零阻抗，并联谐振为____阻抗。,极
fill,110,ZPW-2000A两个频率相同的发送与接收不得采用____。,同一根电缆
fill,111,ZPW-2000A轨道的接收和发送线对，必须按“星形四芯组”的____使用。,对绞线
fill,112,ZPW-2000A铁路内屏蔽数字信号电缆改变了____的电缆使用原则，减少了电缆使用根数，降低了工程造价。,“同频不同缆”
fill,113,电气绝缘节的构成包含有L-C____电路、L-C并联谐振电路，尚有部分电感、电阻串联并联电路。,串联谐振
fill,114,ZPW-2000A系统进站口钢轨引接线采用长短不同的____各两根。,钢包铜线
fill,115,ZPW-2000A系统接收器由本接收“主机”及另一接收“____”两部分构成。,并机
fill,116,ZPW-2000A系统补偿电容的设置方式宜采用____法。,等间距
fill,117,客专ZPW-2000A轨道电路轨道区段小于____m时，可不配置补偿电容。,300
fill,118,ZPW-2000A型无绝缘轨道电路将轨道电路分为主轨道和____短小轨道电路两个部分。,  调谐区  
fill,119,ZPW-2000A型无绝缘轨道电路接收器除接收本主轨道电路信号外，还同时接收 ____小轨道电路的频率信号。, 相邻区段 
fill,120,电气化区段采用非工频轨道电路是为了防止____ 的干扰。, 牵引电流
fill,121,ZPW-2000A发送主备机转换时，低频选择、型号、载频、____________需要同时进行转换。,  功出  
fill,122,电气化区段轨道电路适配器是第一级滤波器，滤掉5OHz____(10A以内),  不平衡电流  
fill,123,"ZPW-2000A发送主机故障时,依靠____转换至+1设备。", FBJ  
fill,124,ZPW－2000A发送器、接收器的工作电源为 ____。, 直流电源 
fill,125,ZPW-2000A轨道电路的调整是根据调整表调整发送 ____、接收电平等级，以及送、受电端的模拟电缆网络。,  电平等级  
fill,126,移频自动闭塞以____为基础，用钢轨传递移频信息。,   移频轨道电路  
fill,127,极性交叉是轨道电路____的防护措施之一。,  绝缘破损  
fill,128,轨道电路限流电阻作用之一是：当轨道电路____时保护送电电源不会被烧坏。,  送电端轨面短路 
fill,129,高速铁路多采用____进行列车占用和完整性检测。,  轨道电路 
fill,130,当进行扼流变压器II次侧的有关开路作业前，应将扼流变压器I次侧____。,  短路  
fill,131,ZPW-2000系列电码化，在最不利条件下， 1700Hz、2000Hz、2300Hz机车信号钢轨最小短路电流不小于 500mA ，入口电流不大于____。,1200mA
fill,132,ZPW-2000系列电码化，在最不利条件下， 2600Hz机车信号钢轨最小短路电流不小于 450mA ，入口电流不大于____。,1100mA
fill,133,计轴设备发送磁头顶部边缘不得碰到钢轨，____不得松动。,磁头
fill,134,计轴设备磁头安装点检测区段长度应____最大轴距。, 大于 
fill,135,计轴设备磁头应安装在轨枕间的钢轨上，且应避开轨距杆等____部件。, 金属 
fill,136,计轴设备发生任何故障，作为检查轨道区段空闲与占用状态的____应可靠落下，并持续显示占用状态。, 轨道继电器 
fill,137,计轴设备故障排除后，未经____，不得自动复位。, 人工办理 
fill,138,电力牵引区段，交叉渡线道岔的直股通过牵引电流时，应在渡线增设____。,钢轨绝缘
fill,139,当计轴轨道区段因电源停电、故障、外界干扰需要恢复时，应先由____该区段空闲后，再进行复零操作。,人工确认
fill,140,道岔一经启动后应保证能转换到底，因故不能转换到底时，应保证经操纵后能转换到____。,原位
fill,141,道岔第一连接杆处，尖轨与基本轨间有____mm及以上间隙时，道岔不得锁闭。,4
fill,142,电动转辙机每转换一次，锁闭齿轮与锁闭齿条块要完成____三个过程。,解锁、转换、锁闭
fill,143,道岔电路由____和表示电路两部分组成。,启动电路
fill,144,交流转辙机采用三相交流电源，为防止烧坏电机，电路中设有____。, 断相保护器 
fill,145,五线制道岔控制电路中表示电路采用二极管与表示继电器____的旁路控制电路。,并联
fill,146,转辙机启动电路包括道岔____继电器电路和道岔动作电路。,启动
fill,147,ZD6道岔表示电路中接入二极管的作用是____。,  整流  
fill,148,ZYJ7型电液转辙机开关滚轮在动接点凸轮上时，常开接点应____。,  可靠接通  
fill,149,当道岔被挤时，SH6型转换锁闭器应能可靠断开____。,  表示接点  
fill,150,ZYJ7型电液转辙机油路系统内无空气，转换时应保证有足够的____，转换速度应能做到主、副机协调同步。, 工作压力  
fill,151,S700K型电动转辙机属于____传递的三相交流电动转辙机。,  滚珠丝杠  
fill,152,道岔转换密贴后，转辙机自动开闭器的动接点变为断开道岔的启动电路，从而使____缓放落下 。,1DQJ
fill,153,电液转辙机使用中油箱常备油量用____测量，应保持在上、下标记之间。,  油标尺  
fill,154,列车运行速度大于160km/h区段的道岔，尖轨、心轨的密贴段，在牵引点间有____及以上缝隙是不得接通道岔表示。, 5mm  
fill,155,尖轨、心轨顶铁与轨腰的间隙均应不大于____。,1.5mm
fill,159,道岔融雪装置不得影响道岔的____和轨道占用检查装置的正常工作。,正常转换
fill,160,高速铁路、仅开行封闭式旅客列车的客运专线，转辙机、密贴检查器的金属外壳应采用截面积为____就近接地；交流转辙机采用角钢安装固定方式时，机壳____；直流转辙机机壳____。（每空1分）,50mm²铜导线不接地不接地
fill,161,6502电气集中电路动作层次是选择进路、锁闭进路，然后开放信号，最后____。,解锁进路
fill,162,照查继电器是为锁闭另一咽喉的____用的，对应每一接车股道的上行咽喉和下行咽喉各设一个。,迎面敌对进路
fill,163,取消发车进路时，中岔和发车进路同时解锁，当中岔区段有车占用时，应处于____状态。,  区段锁闭  
fill,164,中岔不在接车进路的始、终端按钮之间，建立接车进路必须把中岔____到规定位置。,  带动  
fill,165,办理带延续进路的接车进路时，必须按压三个按钮，即：进站信号机处始端按钮； 接车股道终端按钮；及____延续进路终端的调车按钮或列车按钮。,  另一咽喉 
fill,166,两方向出站信号机设置的____ZXJ的作用是区分向主要方向发车还是向次要方向发车。,  主信号继电器  
fill,167,在股道有中间道岔的情况下，接车进路的最末一个道岔区段是指____。, 中间道岔区段  
fill,168,当进路上的道岔失去表示时，防护该进路的信号机应 ____。, 自动关闭  
fill,169,计算机联锁2x2取2冗余结构由4个单元组成。每个单元中的CPU应具有各自独立的总线、RAM、ROM及必要的外围器件。4个单元分为相同的两系。每系中的两个单元应同步执行相同的联锁运算，并通过相互校核，保证只有在运算结果____时对外输出。,完全相同
fill,170,计算机联锁在一次错误办理和发生一处故障时，不应有____侧输出。,危险
fill,171,CTCS-2级列控系统中限速区长度超过____时，按区间限速处理。,2200m
fill,172,车站列控中心启动后，先向应答器发送____报文。,默认
fill,173,应答器报文分为应答器____和应答器传输报文。,用户报文
fill,174,CTCS-3级列控系统由地面设备、车载设备、____、GSM-R无线通信网络构成。,信号数据传输网络
fill,175,CTCS－3级列车运行控制子系统地面系统组成由列控中心、临时限速服务器、ZPW-2000系列轨道电路、应答器、____、GSM-R接口设备等组成。,无线闭塞中心
fill,176,CTCS-3级列控系统车载设备由车载安全计算机、____、轨道电路信息读取器、应答器信息接收单元、记录单元、人机界面等组成。,GSM-R无线通信单元
fill,177,CTCS－2级列车运行控制子系统地面系统组成由列控中心、临时限速服务器、ZPW-2000系列轨道电路、____等设备组成。,应答器
fill,178,CTCS-2地面设备由轨道电路、车站电码化等传输____列控信息。,连续
fill,179,CTCS-2是基于点式应答器、轨道电路传输____信息的点-连式系统。,列车运行控制
fill,180,CTCS-2车站列控中心与计算机联锁系统接口为____通信接口。,安全
fill,181,CTCS-2列控中心可以将临时限速命令自动转换为对应____指令。,控制
fill,182,地面应答器安装在护轮轨处空间够时，应答器中心至护轮轨基之间的横向无金属距离为____mm。,320
fill,182,应答器安装应以应答器____为参考点。,基准标记
fill,183,应答器采用横向安装方式时，从应答器中心沿着轨道中心的无金属距离不应小于____mm。,315
fill,184,CTCS-2级列控系统包括____和____________ 设备。,  车载设备  列控地面 
fill,185,TCC根据轨道区段占用信息、联锁进路信息、线路限速信息等产生列车行车许可命令，并通过轨道电路和____将连续的速度信息及点式信息传输给车载设备，保证其管辖内的所有列车的运行安全。, 有源应答器 
fill,186,列车运行控制系统是列车在____运行过程中实现自动化的设备。, 区间 
fill,187,列车运行控制系统一般由车载设备、____、地车信息传输通道三部分组成。, 地面设备 
fill,188,CTCS-2级列控系统是基于____传输信息的列车运行控制系统。, 轨道电路和应答器  
fill,189,应答器包括____和无源应答器。, 有源应答器  
fill,194,LEU与有源应答器之间的电缆长度不得大于2500 m，超过规定时宜将LEU设置于轨旁，设置于轨旁的LEU应冗余设置；室外LEU与TCC宜采用两根独立光缆连接，并按____敷设。,不同的物理路径
fill,195,CTC分散自律调度集中系统用于________站时，自律机从联锁控显机获得信息。,计算机联锁
fill,196,CTC分散自律调度集中系统和联锁系统相连接，不会影响联锁系统的____工作。,正常
fill,197,CTC分散自律调度集中系统车务终端采用工控机组成双套冗余________系统。,热备
fill,198,CTC分散自律调度集中系统自律机与联锁通信中断后，不再向联锁发送____命令。,操作
fill,199,在调度集中区段内，有遥控设备的集中联锁车站，车站控制应优先于____。,调度控制
fill,200,CTC分散自律调度集中系统____终端主要工作是监视系统的运行状况，对所有控制命令、报警信息和车站网络运行状态等进行存储、查询和打印。,电务维护
fill,201,TDCS主机柜通过计算机完成通信及____功能。,  信息处理  
fill,202,CTC调度集中系统由铁路局集团有限公司 、____二级组成。, 车站  
fill,203,调度集中系统在____方式下，车务终端具有信号设备的全部控制权，车站对列车及调车进路均有操作权，列车调度员对列车及调车进路均无操作权。, 车站操作 
fill,204,CTC应具备____和非常站控两种模式。分散自律模式是通过调度集中设备，实现进路自动和人工办理的模式。,  分散自律控制 
fill,205,调度集中系统在中心操作方式下，调度终端具有信号设备的全部控制权，列车调度员对____进路均有权操作权，车站对列车及调车进路均无操作权。, 列车及调车 
fill,206,信号集中监测系统供电电源应与被监测对象电源____。,  可靠隔离  
fill,207,驼峰信号机的推峰信号（也叫溜放信号）有____、黄闪、绿灯三种显示。,绿闪
fill,208,驼峰主体信号机在正常情况下，要求显示距离不得少于____m。,400
fill,209,驼峰主体信号机有____种显示。,7
fill,210,在驼峰信号设备中，管路的连接方式有螺纹连接、法兰连接和____连接。,焊接
fill,211,全封闭线路的城市轨道交通系统应配备____；线路部分封闭的城市轨道交通系统，应根据行车间隔、列车运行速度、线路封闭状态等运营条件采取相应的技术手段进行列车运行安全防护。,ATP系统
fill,212,城市轨道交通信号系统应实现列车安全运行，并在系统最不利条件下，当前方列车处于紧急停车时，后续列车应能____。,安全停车
fill,213,城市轨道交通信号系统按闭塞制式划分，可分为____制式、准移动闭塞制式和移动闭塞制式。,固定闭塞
fill,214,城市轨道交通信号系统按地面设备向车载设备传递信息的连续性划分，可分为在固定地点传递信息的____、沿线路连续传递信息的连续式。,点式
fill,215,城市轨道交通信号系统按信号系统控制模式曲线划分，可分为阶梯式和____模式曲线。,速度-距离
fill,216,城市轨道交通信号系统可由行车指挥控制子系统或具有行车指挥控制功能的设备、ATP子系统、____子系统、联锁子系统或具有联锁功能的设备、数据通信子系统、维护监测子系统和信号机、转辙机、列车占用-空闲检测、电源等基础设备组成。,ATO
fill,217,城市轨道交通信号系统按地域划分，可分为控制中心设备、____设备、车辆基地设备、车载设备、维修中心设备、试车线设备，可根据需要设置备用控制中心或培训中心设备。,车站及轨旁
fill,218,根据城市轨道交通信号系统的性能特点和运营需要，驾驶模式可____转换。,自动或人工
fill,219,城市轨道交通信号系统当地面信号为主体信号且其信号显示熄灭或显示意义不明时，应视为禁止信号；当车载信号为主体信号时，正线地面信号宜____；,灭灯
fill,220,城市轨道交通信号行车指挥控制子系统技术实现方式包括____两种系统技术。,ATS和CTC
fill,221,城市轨道交通设置备用控制中心的线路，主控制中心与备用控制中心可____。,互为热备
fill,222,城市轨道交通信号系统ATP地面设备向ATP车载设备传送的允许速度指令、目标速度、目标距离、____等信息，应满足ATP车载设备控制方式和控制精度的需要。,站台屏蔽门状态
fill,223,城市轨道交通固定闭塞系统、准移动闭塞系统应实现闭塞分区的列车占用-空闲的检测，并应以闭塞分区为单元检测列车的位置。列车占用-空闲检测可采用轨道电路、轨旁环线、____等方式实现。,计轴
fill,224,城市轨道交通移动闭塞系统应通过列车定位技术及车地信息的双向传输实现列车的准确定位。列车定位技术可采用轨道电路、轨旁环线、____、无线、卫星定位或辅以测速设备或测速信息等方式实现。,应答器
fill,225,城市轨道交通列车自动运行应具有车门和站台屏蔽门开闭的____功能。,自动控制
fill,226,城市轨道交通当ATO子系统发生故障时，应能给出报警提示，并能转为____。,人工控制
fill,227,城市轨道交通行车指挥控制中心应实现本线运行列车的统一指挥调度，可实现线网列车运行的统一指挥调度，可实现轨道交通线网间线路的____。,协同指挥
fill,228,城市轨道交通信号系统自身设备故障时，应具有____模式和应急措施。,降级运行
fill,229,城市轨道交通信号系统电源设备应具备不间断供电功能或由UPS整合专业提供不间断供电功能。当双路外电源供电失效时，不间断供电功能应满足为控制中心、车辆基地、维修中心、车站的信号系统设备提供不小于________的供电要求。, 30min
fill,230,城市轨道交通信号设备应设工作地线、保护地线、____等。,屏蔽地线和防雷地线
choice,1,"质量方针应与施工企业的经营管理方针相适应，体现施工企业的质量管理宗旨和方向。不包括： （）
(A)遵守国家法律、法规，满足工期要求。
(B)在工程施工过程中及交工后，认真服务于发包方和社会。
(C) 质量回访和服务信息。
(D)追求质量管理，保持质量管理水平。",C
choice,2,"各项施工必须严格执行本工种的（）规程。
（A）安全作业 （B）安全技术标准 
（C）安全技术操作 （D）人身安全规章",C
choice,3,"高柱水泥信号机柱的埋设深度为机柱长的20%，但不得大于（）m。
（A）1.7（B）1.9（C）2（D）2.1",C
choice,4,"以下不属于CTCS-2级列控地面设备的是（）
（A）LEU 
（B）应答器 
（C）LKJ列车运行监控记录装置 
（D）列控中心",C
choice,5,"在列车压入接近区段时，欲取消进路应采用（）方式。
（A）取消解锁 
(B)人工延时解锁 
(C)故障解锁 
( D)正常解锁",B
choice,6,"正线发车进路的人工解锁延时时间为（）。
(A)3秒 
(B)30秒 
(C)3分钟
(D)1分钟",C
choice,7,"ZPW－2000A无绝缘轨道电路下行线路载频排列一般为（），周而复始。
 (A)1700－1、1700－2、2300－1、2300－2 
(B)1700－1、2300－2、2300－1、1700－2 
(C)1700－1、2300－1、1700－2、2300－2 
(D)1700－1、2300－2、1700－2、2300－1",C
choice,8,"ZPW－2000A发送器有（）个发送等级可调。
(A) 9 (B) 5 (C)11 (D)10",D
choice,9,"股道停有待发列车出站信号机未开放前（）。
（A）两端可以同时向该股道调车
（B）有车停留不可以办理调车进路 
（C）两端咽喉同时只允许一端办理调车进路 
（D）以上都不对",A
choice,10,"64D半自动闭塞车站，甲站请求发车，首先发送一个（）信号。
（A）正极性
（B）负极性
（C）无极性
（D）无信号",A
choice,11,"ZPW-2000A型轨道电路的发送器低频频偏为（）。
（A）±0.7Hz （B）±0.9Hz （C）±1.1Hz （D）±1.3Hz",C
choice,12,"RBC采用（）工作方式。
（A）冷备 （B）热备 （C）不一定 （D）冷热备",B
choice,13,"普速铁路，绝缘节应设在距警冲标不小于（）外。
(A)3m (B)3.5m (C)4m (D)6m",B
choice,14,"信号机无效标为（）十字交叉板。
(A)红色 (B)白色(C)黑色 (D)黄色",B
choice,15,"64D继电半自动闭塞车站，作为发车站请求发车时有（）吸起。
(A)XZJ、ZKJ
(B)TJJ、ZKJ、GDJ
(C)XZJ、ZKJ、GDJ
(D)XZJ、ZKJ、GDJ、BSJ",D
choice,17,"ZPW－2000A无绝缘轨道电路的分路残压不大于（）。
(A)240mv (B) 153mv (C)120mv (D)38mv",B
choice,18,"ZPW-2000A型无绝缘移频自动闭塞轨道电路通过（）能实现对数字电缆长度的补偿。
（A）发送器 （B）接收器 （C）衰耗器 （D）防雷模拟网络盘",D
choice,19,"分路残压测量：用（）Ω电阻线在轨面任一地方分路，25Hz相敏轨道电路继电器端电压不大于 7V，其前接点断开。
（A）0.06 （B）0.15 （C）0.25 （D）0.1",A
choice,20,"ZPW-2000A型轨道电路中,接收器端子“（+24）”，其供电方式是（）。
(A)由接收器本身内部给出 
(B)由零层电源端子给出 
(C)由发送盒功出电压给出 
(D)由并机接收器给出",A
choice,21,"横向连接线设置要求，两个完全横向连接的距离大于等于（）m，两者之间增加一简单横向连接。
(A) 1000 (B) 3000 (C) 1500 (D) 2000",D
choice,22,"ZPW-2000轨道电路，测试衰耗盒功出测试孔时，其低频频率为12.5Hz时，其代表（）码。
(A) L3 (B) L2 (C) L (D) LU",B
